0,1,2,3,4,5,6,7,8,9
$phi$,CO2,CO,H2O,H2,OH,O2,N2,H,O
0.4,0.040306323274853825,5.466905133692119e-16,0.08057402220752427,2.4306228840366505e-14,7.724866715122839e-05,0.12089965680362035,0.7581427473127369,1.7169101431527225e-11,1.716919314385493e-09
0.41,0.04116137733567193,2.122222494453669e-11,0.07690921947348603,6.377971060333109e-10,0.010827023666719863,0.11575543078797969,0.7553423487095574,4.5538283198851905e-08,4.55382928250438e-06
0.42,0.042236452773927013,4.448601902755001e-16,0.08443119960593708,1.9778823449770922e-14,8.341186461247879e-05,0.1166322061217441,0.7566167276962062,1.918363411501686e-11,1.9183692500768935e-09
0.43,0.04319846784822266,2.795853768543029e-16,0.08634726668925587,1.2430494145401005e-14,9.933799216617962e-05,0.11450133497242297,0.7558535902568355,2.2188949595411094e-11,2.2188951604954094e-09
0.44,0.04415880171183881,3.4079933029013324e-16,0.08827164677635188,1.515222622383415e-14,9.191327296864565e-05,0.11238124314371269,0.7550963929080721,2.165390016069932e-11,2.1653865225425265e-09
0.45,0.0450910708780917,4.830499366846872e-12,0.08898192546066169,2.1196142329380784e-10,0.0024004234253943227,0.10962207602128154,0.7539036189791013,8.757383332121784e-09,8.762612940219072e-07
0.46,0.04607285979964289,9.208937412091432e-17,0.09207031590511844,4.094293077309062e-15,0.00015080735847221638,0.10813335881340441,0.7535726551080323,2.9854621412332524e-11,2.985470938228933e-09
0.47,0.047026763764419444,4.246487020492445e-17,0.09395361423929417,1.8879406152816907e-15,0.00019982654562640984,0.10601040252937782,0.7528093895418723,3.345941396213193e-11,3.3459485985546268e-09
0.48,0.04797931683423842,4.0747488180880785e-17,0.09585841499789377,1.8116086611440717e-15,0.00020043730705255163,0.10390507545043991,0.7520567519652458,3.411013842855503e-11,3.4110175253743597e-09
0.49,0.048930449283129916,7.184227435610944e-17,0.09778008162299844,3.1941719130587747e-15,0.00016163385365286435,0.10181481085833326,0.7513130210626372,3.286380458420435e-11,3.2863812331275706e-09
0.5,0.049879334781882105,8.202445934202588e-17,0.099682477001055,3.646922266737464e-15,0.0001523850924844656,0.0997205716525238,0.7505652281464177,3.292700227573291e-11,3.2927061869658805e-09
0.51,0.05082032800355849,1.3589378411758552e-17,0.10133279048697898,6.016661760444057e-16,0.0006157309187717482,0.09750080907977157,0.7497303290907792,1.2150319317330214e-10,1.229863626569307e-08
0.52,0.0517705013997083,3.339683747588106e-17,0.10343737203702882,1.484874619217555e-15,0.00020726148703497776,0.09552449302717163,0.7490603682375382,3.773772298424189e-11,3.773778837570415e-09
0.53,0.052706091303294636,6.976123471979794e-17,0.10502351989540695,3.0955501725297325e-15,0.0007773253646871876,0.09328439351604301,0.7482086636047222,5.7671392672683335e-11,6.258171326580742e-09
0.54,0.05365564072624758,1.3465692397222728e-16,0.10723776066286951,5.984190012461261e-15,0.00014704153377276288,0.09137655118447643,0.7475830013004531,4.546709801983912e-11,4.5467073917268715e-09
0.55,0.05458396021847957,1.3053474801045008e-16,0.10868947404225757,5.780007694800929e-15,0.0009568924675516619,0.08907996849055998,0.7466896722527957,3.2184035782254387e-10,3.220650926269856e-08
0.56,0.055532336372433,5.915416598739173e-17,0.11098432806871592,2.6302231041384623e-15,0.0001606893134357384,0.0872249257522111,0.7460977165684033,3.88594111333271e-11,3.885939086694905e-09
