0,1,2,3,4,5,6,7,8,9,10,11
$phi$,$T_ad$,CO2,CO,H2O,H2,OH,O2,N2,H,O,h_prod
0.3,1063.655508605163,0.030537051490070105,4.065203257045171e-11,0.061008766356633846,9.43703886677531e-11,0.00013067167765599624,0.14247350101018438,0.7658498637863649,1.5432240798013041e-09,1.440008443504743e-07,1205211.7621662691
0.32,1107.9392638747322,0.03250670330046462,4.2658539641574106e-11,0.0649497701446782,8.529489496991328e-11,0.0001272715394133234,0.13812160307400592,0.764294513127003,1.3731331189775498e-09,1.3731334838582933e-07,1189645.8624538793
0.34,1151.5861696318605,0.034468386690441825,4.947968093212325e-11,0.06887574568076943,8.534955141458405e-11,0.00012205403724400055,0.13378786003175072,0.7627458130122685,1.3902040025192065e-09,1.3902249232739102e-07,1175975.007637382
0.36,1193.9366644903996,0.03642079718070669,2.5500029089023323e-10,0.07270970763208383,3.796416128456563e-10,0.00026377175651126275,0.1294301283681075,0.7611753961430057,1.9628478820460657e-09,1.9632209527993338e-07,1163103.6709375451
0.38,1236.7236688605062,0.03836735429644821,1.0927381518634191e-10,0.07664526050521518,1.486419216247922e-10,0.00017889450085207555,0.12515392162462088,0.7596543854767511,1.8143326786072684e-09,1.8152386414845014e-07,1152721.075690686
0.4,1278.459346153143,0.04030511858436899,1.5791183923124497e-10,0.08051204397914943,1.980424054749788e-10,0.0001963846356855389,0.12086616164415127,0.7581200906286154,1.9790541375985317e-09,1.981930209769155e-07,1142917.436296411
0.42,1319.4831198445806,0.042234723764219724,2.1421980838548512e-11,0.08434597610849806,2.439382388456102e-11,0.0002469419542148925,0.11658649669806662,0.7565857548901739,9.22567655606549e-10,1.0561644344573215e-07,1133909.143252064
0.44,1360.2740998855131,0.04415730746214843,3.2845454945015934e-10,0.08820122986418162,3.4833678433233146e-10,0.00022676835288922998,0.11234361359602515,0.7550708475016669,2.384489573123944e-09,2.3016180770547114e-07,1126019.953101097
0.46,1400.2732440543803,0.04607153571010816,8.300103962921493e-10,0.0920104943262266,8.160801631119312e-10,0.0002651531113870601,0.10810153647383117,0.7535510117327884,2.764474177007584e-09,2.642350938616725e-07,1118575.0214612926
0.48,1439.3975002144307,0.04797708710047746,1.7664899341852074e-09,0.09576149825232164,1.6190574802756947e-09,0.00038535213407369637,0.10385382146339948,0.7520218294623865,3.5910382909842242e-09,4.046107555939094e-07,1111420.9684760007
0.5,1476.7121087768296,0.0498711564354213,3.466400238342854e-09,0.0993391149178109,2.980914888390096e-09,0.0008064008174671669,0.09954034441793791,0.7504422156655052,2.99236757520297e-09,7.583061749892924e-07,1103693.5230584913
0.52,1498.483373018192,0.05171232404297098,4.332379851662876e-09,0.10107616630214947,3.6011461082548027e-09,0.004696958856591518,0.0942935063775794,0.7482186706323483,1.4838209933126116e-08,2.3510166246665296e-06,1083958.6132613078
0.54,1556.5031938395935,0.053656910052342646,1.495044875899939e-06,0.1072526547623836,1.1109096569691742e-06,0.00010703098526600393,0.09137805658522759,0.7475912122207174,2.490735736339568e-07,1.1280365956229017e-05,1095206.1627789547
0.56,1594.1477114216925,0.055529460758421696,3.0194883948058368e-06,0.11099648353955612,2.0496454400124615e-06,0.00013278501915714832,0.0872328812380292,0.7460996495683968,6.959476602138406e-08,3.6011478381851515e-06,1090195.1520819745
0.58,1631.1875310654125,0.057395930700582666,5.2131373026279836e-06,0.11471027774224714,3.360124543291219e-06,0.0001771769488089695,0.08309004870790869,0.7446125391121404,1.2266915102613112e-07,5.330857315145304e-06,1085389.2357473532
0.6,1667.7294752524454,0.05925347085883342,8.67418749932281e-06,0.1184032567001278,5.3327368372241566e-06,0.00023117884766327542,0.07896153681892577,0.7431284855016328,2.2246373760190934e-07,7.841884742763632e-06,1080838.375801946
0.62,1703.7534271783331,0.06110111534638703,1.4267420593662258e-05,0.12207232081841385,8.378174793152776e-06,0.0002997353949317634,0.07484641854949384,0.7416459659894739,3.976865770977265e-07,1.1400619335709405e-05,1076491.7917059653
0.64,1739.2716662674677,0.06293855885449627,2.2310903197680924e-05,0.12571768730684268,1.2604889916672811e-05,0.00038222632214837573,0.0707451370709135,0.7401649867347951,6.683151106669609e-07,1.581960257914339e-05,1072329.367188443
0.66,1774.2445937032335,0.06476369942473599,3.4699951906721064e-05,0.1293348858019995,1.8872001118799784e-05,0.00048496692042963125,0.06665691159291162,0.7386830520569667,1.1149799086045353e-06,2.1797270022381504e-05,1068298.1509490085
0.68,1808.6799968267642,0.0665747756485199,5.31583064915833e-05,0.1329249477834663,2.7875478101442344e-05,0.0006042647310995972,0.06258377713438168,0.7371998294742167,1.8245658101492838e-06,2.9546877912668386e-05,1064382.9673901077
0.7,1842.6573672460631,0.06837096234537106,7.877937559737917e-05,0.13649735529074156,3.9971365522332766e-05,0.000721449495100339,0.05853156673410806,0.7357183123750349,2.8640762453620036e-06,3.873894227904306e-05,1060617.9216547161
0.72,1876.0469214850339,0.07014696512457969,0.00011622417208757404,0.14003839025533454,5.7094592647961155e-05,0.0008573213190637306,0.05449738729271707,0.7342317400048562,4.4661716415038555e-06,5.0411067071642554e-05,1056900.0790155018
0.74,1908.8076091885398,0.07189877680727053,0.00016919930476452788,0.14354407182333492,8.061270948353513e-05,0.0010156931624125541,0.050482772016286356,0.7327374662613604,6.842220090998342e-06,6.456569499611813e-05,1053191.8508866702
